agi_code,link,other_name,description
AT2G42830,https://www.arabidopsis.org//locus?key=33362,Other Names: AGAMOUS-like 5;AGL5;SHATTERPROOF 2;SHP2,AGAMOUS [AG]-like MADS box protein (AGL5) involved in fruit development (valve margin and dehiscence zone differentiation). A putative direct target of AG. SHP2 has been shown to be a downstream gene of the complex formed by AG and SEP proteins (SEP4 alone does not form a functional complex with AG).
AT2G37330,https://www.arabidopsis.org//locus?key=32915,Other Names: ALS3;ALUMINUM SENSITIVE 3,"Encodes an ABC transporter-like protein, without an ATPase domain, required for aluminum (Al) resistance/tolerance and may function to redistribute accumulated Al away from sensitive tissues in order to protect the growing root from the toxic effects of Al."
AT1G48410,https://www.arabidopsis.org//locus?key=26776,Other Names: AGO1;ARGONAUTE 1;ATAGO1;ICU9,"Encodes an RNA Slicer that selectively recruits microRNAs and siRNAs.  There is currently no evidence that AGO1 Slicer is in a high molecular weight RNA-induced silencing complex (RISC).  Mutants are defective in post-transcriptional gene silencing and have pleiotropic developmental and morphological defects. Through its action on the  regulation of ARF17 expression, the protein regulates genes involved at the cross talk between auxin and light signaling during adventitious root development. AGO1 seems to be targeted for degradation by silencing suppressor F-box-containing proteins from Turnip yellow virus and Cucurbit aphid-borne yellow virus."
AT1G11310,https://www.arabidopsis.org//locus?key=137301,Other Names: ATMLO2;MILDEW RESISTANCE LOCUS O 2;MLO2;PMR2;POWDERY MILDEW RESISTANT 2,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO2 belongs to the clade IV, with AtMLO3, AtMLO6 and AtMLO12. The gene is expressed during early seedling growth, in roots, in vascular system of cotyledons and young leaves,and in fruit abscission zone; it was not expressed in anthers and pollen, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s). mlo resistance in A. thaliana does not involve the signaling molecules ethylene, jasmonic acid or salicylic acid, but requires a syntaxin, glycosyl hydrolase and ABC transporter. It is a novel virulence target of the P. syringae type III secreted effector HopZ2."
AT4G03550,https://www.arabidopsis.org//locus?key=128564,Other Names: ATGSL05;ATGSL5;CALS12;EED3;ENHANCER OF EDR1 3;GLUCAN SYNTHASE-LIKE 5;GSL05;GSL5;PMR4;POWDERY MILDEW RESISTANT 4;glucan synthase-like 5,Encodes a callose synthase that is required for wound and papillary callose formation in response to fungal pathogens Erysiphe and Blumeria.  Mutants are resistant to P. parasitica and exhibit an exaggerated PR1 response.Contributes to PAMP-induced basal defense. The mRNA is cell-to-cell mobile.
AT2G19450,https://www.arabidopsis.org//locus?key=32778,Other Names: ABX45;AS11;ATDGAT;ATDGAT1;Arabidopsis thaliana acyl-CoA:diacylglycerol acyltransferase;DGAT1;RDS1;TAG1;TRIACYLGLYCEROL BIOSYNTHESIS DEFECT 1;acyl-CoA:diacylglycerol acyltransferase 1,Encodes Acyl-CoA:diacylglycerol acyltransferase (DGAT) catalyzes the final step of the triacylglycerol synthesis pathway. An insertion  mutation in the TAG1 gene results in altered lipid phenotype. Role in senescence and seed development. Its preferred substrate is linolenoyl-CoA (C18:3-CoA).
AT2G01980,https://www.arabidopsis.org//locus?key=31671,Other Names: ARABIDOPSIS NA+/H+ ANTIPORTER 7;ARABIDOPSIS SALT OVERLY SENSITIVE 1;ATNHX7;ATSOS1;SALT OVERLY SENSITIVE 1;SOS1,"Encodes a plasma membrane-localized Na+/H+ antiporter SOS1.  Functions in the extrusion of toxic Na+ from cells and is essential for plant salt tolerance.  Has 12 predicted transmembrane domains in the N-terminal region and a long cytoplasmic tail of approx. 700 aa at the C-terminal side. SOS1 interacts through its predicted cytoplasmic tail with RCD1, a regulator of oxidative-stress responses, suggesting that SOS1 might function in oxidative-stress tolerance."
AT5G35410,https://www.arabidopsis.org//locus?key=132084,Other Names: ATSOS2;CBL-INTERACTING PROTEIN KINASE 24;CIPK24;SALT OVERLY SENSITIVE 2;SNF1-RELATED PROTEIN KINASE 3.11;SOS2;SnRK3.11,"encodes a member of the CBL-interacting protein kinase family, is a regulatory component controlling plant potassium nutrition"
AT5G24270,https://www.arabidopsis.org//locus?key=134052,Other Names: ATSOS3;CALCINEURIN B-LIKE PROTEIN 4;CBL4;SALT OVERLY SENSITIVE 3;SOS3,"Encodes a calcium sensor that is essential for K+ nutrition, K+/Na+ selectivity, and salt tolerance. The protein is similar to calcineurin B.  Lines carrying recessive mutations are hypersensitive to Na+ and Li+ stresses and is unable to grow in low K+. The growth defect is rescued by extracellular calcium."
AT3G15170,https://www.arabidopsis.org//locus?key=37229,Other Names: ANAC054;ATNAC1;Arabidopsis NAC domain containing protein 54;CUC1;CUP-SHAPED COTYLEDON1,"Encodes a transcription factor involved in shoot apical meristem formation and cotyledon separation. Functions redundantly with CUC2 and  CUC3. The cuc1 cuc2 double mutant phenotype is first detectable at the heart stage, as embryos lacking two distinct bulges of cotyledonary primordia.In post embryonic development it plays a role in axillary meristem formation, boundary separation, gynoecium and ovule development.Contains a MIR164 binding site.Expressed in the flanking regions of shoot meristem, but expression is absent from developing leaves."
AT5G53950,https://www.arabidopsis.org//locus?key=132004,Other Names: ANAC098;ATCUC2;Arabidopsis NAC domain containing protein 98;CUC2;CUP-SHAPED COTYLEDON 2,"Transcriptional activator of the NAC gene family, with CUC1 redundantly required for embryonic apical meristem formation, cotyledon separation and expression of STM.  Proper timing of CUC2 expression is required to maintain the phyllotactic pattern initiated in the meristem. CUC2 expression in leaf sinus region is required for serration and the extent of serration is modulated by mir164A mediated repression of CUC2. Together with CUC3-DA1-UBP15 part of a regulatory module which controls the initiation of  axillary meristems, thereby determining plant architecture. Regulates the axillary meristem initiation, directly binding to the DA1 promoter."
AT3G15170,https://www.arabidopsis.org//locus?key=37229,Other Names: ANAC054;ATNAC1;Arabidopsis NAC domain containing protein 54;CUC1;CUP-SHAPED COTYLEDON1,"Encodes a transcription factor involved in shoot apical meristem formation and cotyledon separation. Functions redundantly with CUC2 and  CUC3. The cuc1 cuc2 double mutant phenotype is first detectable at the heart stage, as embryos lacking two distinct bulges of cotyledonary primordia.In post embryonic development it plays a role in axillary meristem formation, boundary separation, gynoecium and ovule development.Contains a MIR164 binding site.Expressed in the flanking regions of shoot meristem, but expression is absent from developing leaves."
AT5G53950,https://www.arabidopsis.org//locus?key=132004,Other Names: ANAC098;ATCUC2;Arabidopsis NAC domain containing protein 98;CUC2;CUP-SHAPED COTYLEDON 2,"Transcriptional activator of the NAC gene family, with CUC1 redundantly required for embryonic apical meristem formation, cotyledon separation and expression of STM.  Proper timing of CUC2 expression is required to maintain the phyllotactic pattern initiated in the meristem. CUC2 expression in leaf sinus region is required for serration and the extent of serration is modulated by mir164A mediated repression of CUC2. Together with CUC3-DA1-UBP15 part of a regulatory module which controls the initiation of  axillary meristems, thereby determining plant architecture. Regulates the axillary meristem initiation, directly binding to the DA1 promoter."
AT5G13160,https://www.arabidopsis.org//locus?key=135430,Other Names: PBS1;avrPphB susceptible 1,Mutant is defective in perception of Pseudomonas syringae avirulence gene avrPphB. Encodes a putative serine-threonine kinase.
AT5G03730,https://www.arabidopsis.org//locus?key=130667,Other Names: AtCTR1;CONSTITUTIVE TRIPLE RESPONSE 1;CTR1;SIS1;SUGAR-INSENSITIVE 1,Homologous to the RAF family of serine/threonine protein kinases. Negative regulator in the ethylene signal transduction pathway. Interacts with the putative ethylene receptors ETR1 and ERS. Constitutively expressed.
AT1G25490,https://www.arabidopsis.org//locus?key=30057,Other Names: ATB BETA BETA;EER1;ENHANCED ETHYLENE RESPONSE 1;RCN1;REGA;ROOTS CURL IN NPA,One of three genes encoding phosphoprotein phosphatase 2A regulatory subunit A;  Recessive ethylene-response mutant EER1 displays increased ethylene sensitivity in the hypocotyl and stem
AT1G22710,https://www.arabidopsis.org//locus?key=136949,Other Names: ARABIDOPSIS THALIANA SUCROSE-PROTON SYMPORTER 2;ATSUC2;SUC2;SUCROSE TRANSPORTER 1;SUCROSE-PROTON SYMPORTER 2;SUT1,"Encodes for a high-affinity  transporter essential for phloem loading and long-distance transport. A major sucrose transporter, AtSUC2 can also transport a wide range of physiological and synthetic glucose conjugates with both α- or β-linkage."
AT1G23420,https://www.arabidopsis.org//locus?key=29586,Other Names: INNER NO OUTER;INO,Essential for formation and asymmetric growth of the ovule outer integument. Member of the YABBY protein family of putative transcription factors that contain apparent Cys(2)-Cys(2) zinc-finger domains and regions of similarity to the high mobility group (HMG) transcription factors. INO may be required for polarity determination in the central part of the ovule.
AT3G23130,https://www.arabidopsis.org//locus?key=37697,Other Names: FLO10;FLORAL DEFECTIVE 10;FLORAL ORGAN NUMBER 1;FON1;SUP;SUPERMAN,Flower-specific gene controlling the boundary of the stamen and carpel whorls. Similar to zinc finger transcription factors. Involved in shoot regenaration from root explants.
