agi_code,link,other_name,description
AT1G01510,https://www.arabidopsis.org//locus?key=29124,Other Names: AN;ANGUSTIFOLIA;DETORQUEO;DOQ,Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction. It has been shown to localize to cytosolic stress granules and is involved in their formation.
AT4G24510,https://www.arabidopsis.org//locus?key=26532,Other Names: CER2;ECERIFERUM 2;VC-2;VC2,Encodes a component of the fatty acid elongation machinery required for C28 to C30 fatty acid elongation.  It does not require the acyltransferase catalytic site for biological function.
AT3G27920,https://www.arabidopsis.org//locus?key=37734,Other Names: ATGL1;ATMYB0;GL1;GLABRA 1;MALAMBRUNO3;MAU3;MYB DOMAIN PROTEIN 0;MYB0;myb domain protein 0,"Encodes GL1, a Myb-like protein that is required for induction of trichome development. Interacts with JAZ and DELLA proteins to regulate trichome initiation. Natural hyperfunctional alleles producing trichome development in fruits and pedicels have been found."
AT5G22260,https://www.arabidopsis.org//locus?key=134962,Other Names: MS1;male sterility 1,Sporophytic factor controlling anther and pollen development. Mutants fail to make functional pollen;pollen degeneration occurs after microspore release and the tapetum also appears abnormally vacuolated. Similar to PHD-finger motif transcription factors.
AT1G01510,https://www.arabidopsis.org//locus?key=29124,Other Names: AN;ANGUSTIFOLIA;DETORQUEO;DOQ,Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction. It has been shown to localize to cytosolic stress granules and is involved in their formation.
AT1G13180,https://www.arabidopsis.org//locus?key=30155,Other Names: ACTIN-RELATED PROTEIN 3;ARABIDOPSIS THALIANA ACTIN-RELATED PROTEIN 3;ARP3;ATARP3;DIS1;DISTORTED TRICHOMES 1,Mutant has defect in trichome cell expansion and  actin organization resulting in a distorted trichome phenotype.
AT1G51500,https://www.arabidopsis.org//locus?key=30496,Other Names: ABCG12;ARABIDOPSIS THALIANA WHITE-BROWN COMPLEX 12;ATP-binding cassette G12;ATWBC12;AtABCG12;CER5;D3;ECERIFERUM 5;WBC12;WHITE-BROWN COMPLEX 12,"Encodes an ABC transporter involved in cuticular wax biosynthesis. Lines carrying recessive mutations in this locus have weakly glaucous stem surface, and relative elevated secondary alcohols and ketones."
AT1G30825,https://www.arabidopsis.org//locus?key=500231473,Other Names: ACTIN-RELATED PROTEIN C2A;ARPC2A;DIS2;DISTORTED TRICHOMES 2,Involved in trichome maturation. mutant displays enlarged trichomes
AT1G15550,https://www.arabidopsis.org//locus?key=136522,Other Names: ARABIDOPSIS THALIANA GIBBERELLIN 3 BETA-HYDROXYLASE 1;ATGA3OX1;GA REQUIRING 4;GA3OX1;GA4;GIBBERELLIN 3-OXIDASE 1,"Involved in later steps of the gibberellic acid biosynthetic pathway. Activated by AGAMOUS in a cal-1, ap1-1 background. Deletion of 208 bp from -1016 to -809  (Δ-808) resulted in loss of GA-negative feedback (this sequence, which contains a 43-bp sequence GNFEI, was shown to be sufficient for GA-negative feedback)."
AT1G69120,https://www.arabidopsis.org//locus?key=30417,Other Names: AGAMOUS-LIKE 7;AGL7;AP1;APETALA1;ATAP1,"Floral homeotic gene encoding a MADS domain protein homologous to SRF transcription factors. Specifies floral meristem and sepal identity. Required for the transcriptional activation of AGAMOUS. Interacts with LEAFY.Binds to promoter and regulates the expression of flowering time genes SVP, SOC1 and AGL24."
